Name,Version,Summary,License,Homepage
libusb,1.0.22,Libusb,LGPL,http://www.libusb.org
libusb-compat-0.1,0.1.5,libusb-compat-0.1,LGPL,https://github.com/hjelmn/libusb-compat-0.1
libvorbis,1.3.3,Libvorbis,BSD,http://www.xiph.org/vorbis
libwebp,1.0.0,WebP,GPL,https://developers.google.com/speed/webp
libxmp,4.4.1,Libxmp,LGPL,http://xmp.sourceforge.net
libyaml,0.1.5,LibYAML,MIT,http://pyyaml.org
libzip,0.12.2,libzip,BSD,http://nih.at/libzip
lighttpd,1.4.36,Lighttpd,BSD,http://www.lighttpd.net
links,2.18,Links,GPLv2,http://links.twibright.com
lsh,2.1,LSH (Secure Shell),GPL,http://www.lysator.liu.se/~nisse/lsh
lua,5.3.6,Lua,MIT,http://www.lua.org
lua,5.4.0,Lua,MIT,http://www.lua.org
luajit,2.0.5,LuaJIT,MIT,http://luajit.org
luarocks,2.4.1,LuaRocks,MIT,https://luarocks.org
lunzip,1.11,Lunzip,GPLv2,https://www.nongnu.org/lzip
lynx,2.8.9,Lynx,GPL,http://lynx.isc.org
lzip,1.17,Lzip,GPL,http://www.nongnu.org/lzip
lzo,2.08,LZO,GPL,http://www.oberhumer.com/opensource/lzo
lzop,1.03,Lzop,GPL,http://www.lzop.org
m4,1.4.18,GNU M4,GPLv3,https://www.gnu.org/software/m4
make,4.2.1,GNU Make,GPLv3,https://www.gnu.org/software/make
make,4.3,GNU Make,GPLv3,https://www.gnu.org/software/make
mawk,1.3.4,Mawk,GPLv2,http://invisible-island.net/mawk
mc,4.8.7,Midnight Commander,GPLv3,http://www.midnight-commander.org
memcached,1.5.12,Memcached,BSD,https://memcached.org
mercurial,2.9.2,Mercurial,GPL,http://mercurial.selenic.com
mercurial_keyring,0.5.7,Mercurial Keyring Extension,GPL,http://pypi.python.org/pypi/mercurial_keyring
mg3a,180101,MG3a,Public Domain,https://github.com/paaguti
midicsv,1.1,MIDI CSV,Public Domain,http://www.fourmilab.ch/webtools/midicsv
mongodb,2.6.0,MongoDB,AGPL,http://www.mongodb.org
monit,5.8.1,Monit,AGPL,http://mmonit.com/monit
mosh,1.3.2,Mobile Shell,GPL,http://mosh.mit.edu
most,5.0.0,MOST,GPL,http://www.jedsoft.org/most
mpc,1.1.0,GNU MPC,LGPLv3,http://www.multiprecision.org/mpc
mpfr,4.0.1,GNU MPFR,LGPLv3/GPLv3,https://www.mpfr.org
mpg123,1.22.4,MPG123,LGPL,http://www.mpg123.de
mpop,1.0.28,mpop,GPL,http://mpop.sourceforge.net
msmtp,1.4.31,msmtp,GPL,http://msmtp.sourceforge.net
mtr,0.92,MTR,GPLv2,https://github.com/traviscross/mtr
mutt,1.5.23,Mutt,GPL,http://www.mutt.org
mysqldb,1.2.3,MySQLdb (Python Module),GPL,http://sourceforge.net/projects/mysql-python
nano,4.2,GNU nano,GPLv3,https://www.nano-editor.org
nasm,2.14.02,NASM,BSD,http://www.nasm.us
ncdu,1.10,NCurses Disk Usage,MIT,http://dev.yorhel.nl/ncdu
ncftp,3.2.6,NcFTP Client,The Clarified Artistic License,http://www.ncftp.com
ncurses,6.1,GNU ncurses,GPLv3,http://www.invisible-island.net/ncurses
ne,3.1.2,Nice Editor,GPL,http://ne.di.unimi.it
neon,0.30.1,Neon,LGPL,http://www.webdav.org/neon
nettle,3.4.1,Nettle,LGPL/GPL,http://www.lysator.liu.se/~nisse/nettle
nginx,1.7.2,Nginx,BSD,http://nginx.org
ngrep,1.45,ngrep,BSD like,http://ngrep.sourceforge.net
ninja,1.9.0,Ninja,Apache License 2.0,https://ninja-build.org
nmap,6.40,Nmap,GPL,http://nmap.org
node,9.5.0,Node.js®,BSD,http://nodejs.org
nsd,4.0.3,NSD,BSD,http://www.nlnetlabs.nl/projects/nsd
nspr,4.19,NSPR,MPLv2,http://www.mozilla.org/projects/nspr
nss,3.39,NSS,MPLv2,http://www.mozilla.org/projects/security/pki/nss
ntfs-3g_ntfsprogs,2017.3.23,Tuxera Open Source: NTFS-3G,LGPL/GPL,https://www.tuxera.com/community/open-source-ntfs-3g
ocaml,4.03.0,OCaml,QPLv1+LGPLv2,http://caml.inria.fr
offlineimap,6.5.6,Offline IMAP,GPL,http://offlineimap.org
